,Date,Day,count,status,country
1843,4/14/2014,23,6.0,Deaths,Mali
379,4/14/2014,23,20.0,Cases,Nigeria
1355,4/14/2014,23,8.0,Deaths,Nigeria
501,4/14/2014,23,1.0,Cases,Senegal
1477,4/14/2014,23,0.0,Deaths,Senegal
257,4/14/2014,23,2.0,Cases,SierraLeone
1233,4/14/2014,23,2.0,Deaths,SierraLeone
745,4/14/2014,23,1.0,Cases,Spain
1721,4/14/2014,23,0.0,Deaths,Spain
623,4/14/2014,23,4.0,Cases,UnitedStates
1599,4/14/2014,23,1.0,Deaths,UnitedStates
14,4/15/2014,24,168.0,Cases,Guinea
990,4/15/2014,24,108.0,Deaths,Guinea
136,4/15/2014,24,26.0,Cases,Liberia
1112,4/15/2014,24,13.0,Deaths,Liberia
868,4/15/2014,24,7.0,Cases,Mali
1844,4/15/2014,24,6.0,Deaths,Mali
380,4/15/2014,24,20.0,Cases,Nigeria
1356,4/15/2014,24,8.0,Deaths,Nigeria
502,4/15/2014,24,1.0,Cases,Senegal
1478,4/15/2014,24,0.0,Deaths,Senegal
258,4/15/2014,24,12.0,Cases,SierraLeone
1234,4/15/2014,24,2.0,Deaths,SierraLeone
746,4/15/2014,24,1.0,Cases,Spain
1722,4/15/2014,24,0.0,Deaths,Spain
624,4/15/2014,24,4.0,Cases,UnitedStates
1600,4/15/2014,24,1.0,Deaths,UnitedStates
15,4/16/2014,25,197.0,Cases,Guinea
991,4/16/2014,25,122.0,Deaths,Guinea
137,4/16/2014,25,27.0,Cases,Liberia
1113,4/16/2014,25,13.0,Deaths,Liberia
869,4/16/2014,25,7.0,Cases,Mali
1845,4/16/2014,25,6.0,Deaths,Mali
381,4/16/2014,25,20.0,Cases,Nigeria
1357,4/16/2014,25,8.0,Deaths,Nigeria
503,4/16/2014,25,1.0,Cases,Senegal
1479,4/16/2014,25,0.0,Deaths,Senegal
259,4/16/2014,25,12.0,Cases,SierraLeone
1235,4/16/2014,25,2.0,Deaths,SierraLeone
747,4/16/2014,25,1.0,Cases,Spain
1723,4/16/2014,25,0.0,Deaths,Spain
625,4/16/2014,25,4.0,Cases,UnitedStates
1601,4/16/2014,25,1.0,Deaths,UnitedStates
16,4/17/2014,26,203.0,Cases,Guinea
992,4/17/2014,26,129.0,Deaths,Guinea
138,4/17/2014,26,27.0,Cases,Liberia
1114,4/17/2014,26,13.0,Deaths,Liberia
870,4/17/2014,26,7.0,Cases,Mali
1846,4/17/2014,26,6.0,Deaths,Mali
382,4/17/2014,26,20.0,Cases,Nigeria
1358,4/17/2014,26,8.0,Deaths,Nigeria
504,4/17/2014,26,1.0,Cases,Senegal
1480,4/17/2014,26,0.0,Deaths,Senegal
260,4/17/2014,26,12.0,Cases,SierraLeone
1236,4/17/2014,26,2.0,Deaths,SierraLeone
748,4/17/2014,26,1.0,Cases,Spain
1724,4/17/2014,26,0.0,Deaths,Spain
626,4/17/2014,26,4.0,Cases,UnitedStates
1602,4/17/2014,26,1.0,Deaths,UnitedStates
17,4/20/2014,29,208.0,Cases,Guinea
993,4/20/2014,29,136.0,Deaths,Guinea
139,4/20/2014,29,27.0,Cases,Liberia
1115,4/20/2014,29,6.0,Deaths,Liberia
871,4/20/2014,29,7.0,Cases,Mali
1847,4/20/2014,29,6.0,Deaths,Mali
383,4/20/2014,29,20.0,Cases,Nigeria
1359,4/20/2014,29,8.0,Deaths,Nigeria
505,4/20/2014,29,1.0,Cases,Senegal
1481,4/20/2014,29,0.0,Deaths,Senegal
261,4/20/2014,29,12.0,Cases,SierraLeone
1237,4/20/2014,29,2.0,Deaths,SierraLeone
749,4/20/2014,29,1.0,Cases,Spain
1725,4/20/2014,29,0.0,Deaths,Spain
627,4/20/2014,29,4.0,Cases,UnitedStates
1603,4/20/2014,29,1.0,Deaths,UnitedStates
18,4/21/2014,30,208.0,Cases,Guinea
994,4/21/2014,30,136.0,Deaths,Guinea
140,4/21/2014,30,34.0,Cases,Liberia
1116,4/21/2014,30,11.0,Deaths,Liberia
872,4/21/2014,30,7.0,Cases,Mali
1848,4/21/2014,30,6.0,Deaths,Mali
384,4/21/2014,30,20.0,Cases,Nigeria
1360,4/21/2014,30,8.0,Deaths,Nigeria
506,4/21/2014,30,1.0,Cases,Senegal
1482,4/21/2014,30,0.0,Deaths,Senegal
262,4/21/2014,30,12.0,Cases,SierraLeone
1238,4/21/2014,30,2.0,Deaths,SierraLeone
750,4/21/2014,30,1.0,Cases,Spain
1726,4/21/2014,30,0.0,Deaths,Spain
628,4/21/2014,30,4.0,Cases,UnitedStates
1604,4/21/2014,30,1.0,Deaths,UnitedStates
19,4/22/2014,31,208.0,Cases,Guinea
995,4/22/2014,31,136.0,Deaths,Guinea
141,4/22/2014,31,34.0,Cases,Liberia
1117,4/22/2014,31,11.0,Deaths,Liberia
873,4/22/2014,31,7.0,Cases,Mali
1849,4/22/2014,31,6.0,Deaths,Mali
385,4/22/2014,31,20.0,Cases,Nigeria
1361,4/22/2014,31,8.0,Deaths,Nigeria
507,4/22/2014,31,1.0,Cases,Senegal
1483,4/22/2014,31,0.0,Deaths,Senegal
263,4/22/2014,31,0.0,Cases,SierraLeone
1239,4/22/2014,31,0.0,Deaths,SierraLeone
751,4/22/2014,31,1.0,Cases,Spain
1727,4/22/2014,31,0.0,Deaths,Spain
629,4/22/2014,31,4.0,Cases,UnitedStates
1605,4/22/2014,31,1.0,Deaths,UnitedStates
20,4/23/2014,32,218.0,Cases,Guinea
996,4/23/2014,32,141.0,Deaths,Guinea
142,4/23/2014,32,34.0,Cases,Liberia
1118,4/23/2014,32,11.0,Deaths,Liberia
874,4/23/2014,32,7.0,Cases,Mali
1850,4/23/2014,32,6.0,Deaths,Mali
386,4/23/2014,32,20.0,Cases,Nigeria
1362,4/23/2014,32,8.0,Deaths,Nigeria
508,4/23/2014,32,1.0,Cases,Senegal
1484,4/23/2014,32,0.0,Deaths,Senegal
264,4/23/2014,32,0.0,Cases,SierraLeone
1240,4/23/2014,32,0.0,Deaths,SierraLeone
752,4/23/2014,32,1.0,Cases,Spain
1728,4/23/2014,32,0.0,Deaths,Spain
630,4/23/2014,32,4.0,Cases,UnitedStates
1606,4/23/2014,32,1.0,Deaths,UnitedStates
21,4/24/2014,33,218.0,Cases,Guinea
997,4/24/2014,33,141.0,Deaths,Guinea
143,4/24/2014,33,35.0,Cases,Liberia
1119,4/24/2014,33,11.0,Deaths,Liberia
875,4/24/2014,33,7.0,Cases,Mali
1851,4/24/2014,33,6.0,Deaths,Mali
387,4/24/2014,33,20.0,Cases,Nigeria
1363,4/24/2014,33,8.0,Deaths,Nigeria
509,4/24/2014,33,1.0,Cases,Senegal
1485,4/24/2014,33,0.0,Deaths,Senegal
265,4/24/2014,33,0.0,Cases,SierraLeone
1241,4/24/2014,33,0.0,Deaths,SierraLeone
753,4/24/2014,33,1.0,Cases,Spain
1729,4/24/2014,33,0.0,Deaths,Spain
631,4/24/2014,33,4.0,Cases,UnitedStates
1607,4/24/2014,33,1.0,Deaths,UnitedStates
22,4/26/2014,35,224.0,Cases,Guinea
998,4/26/2014,35,143.0,Deaths,Guinea
144,4/26/2014,35,35.0,Cases,Liberia
1120,4/26/2014,35,11.0,Deaths,Liberia
876,4/26/2014,35,7.0,Cases,Mali
1852,4/26/2014,35,6.0,Deaths,Mali
388,4/26/2014,35,20.0,Cases,Nigeria
1364,4/26/2014,35,8.0,Deaths,Nigeria
510,4/26/2014,35,1.0,Cases,Senegal
